date,cases
2021-11-12,47058884.0
2021-11-13,47105077.0
2021-11-14,47138979.0
2021-11-15,47270036.0
2021-11-16,47358017.0
2021-11-17,47470423.0
2021-11-18,47579006.0
2021-11-19,47705277.0
2021-11-20,47752533.0
2021-11-21,47794062.0
2021-11-22,47934958.0
2021-11-23,48026680.0
2021-11-24,48138252.0
2021-11-25,48175309.0
2021-11-26,48230002.0
2021-11-27,48258469.0
2021-11-28,48303592.0
2021-11-29,48488745.0
2021-11-30,48606350.0
2021-12-01,48743353.0
2021-12-02,48881266.0
2021-12-03,49039264.0
2021-12-04,49107072.0
2021-12-05,49163634.0
2021-12-06,49338553.0
2021-12-07,49451022.0
2021-12-08,49600401.0
2021-12-09,49724336.0
2021-12-10,49881752.0
2021-12-11,49939494.0
2021-12-12,49992891.0
2021-12-13,50176145.0
2021-12-14,50289495.0
2021-12-15,50435110.0
2021-12-16,50577301.0
2021-12-17,50769810.0
2021-12-18,50851492.0
2021-12-19,50942411.0
2021-12-20,51183574.0
2021-12-21,51365848.0
2021-12-22,51613702.0
2021-12-23,51888091.0
2021-12-24,52136359.0
2021-12-25,52224674.0
2021-12-26,52408195.0
2021-12-27,52914266.0
2021-12-28,53286726.0
2021-12-29,53797747.0
2021-12-30,54395695.0
2021-12-31,54907738.0
2022-01-01,55099969.0
2022-01-02,55396212.0
2022-01-03,56438999.0
2022-01-04,57267809.0
2022-01-05,57943588.0
2022-01-06,58788193.0
2022-01-07,59667187.0
2022-01-08,60075862.0
2022-01-09,60569276.0
2022-01-10,61923784.0
2022-01-11,62710005.0
2022-01-12,63563873.0
2022-01-13,64429169.0
2022-01-14,65308319.0
2022-01-15,65724621.0
2022-01-16,66210719.0
2022-01-17,66870965.0
2022-01-18,68003833.0
2022-01-19,68913678.0
2022-01-20,69644560.0
2022-01-21,70450301.0
2022-01-22,70760261.0
2022-01-23,71131181.0
2022-01-24,72039933.0
2022-01-25,72532192.0
2022-01-26,73209293.0
2022-01-27,73712581.0
2022-01-28,74325227.0
2022-01-29,74507900.0
2022-01-30,74708911.0
2022-01-31,75244223.0
2022-02-01,75570659.0
2022-02-02,75897756.0
2022-02-03,76171380.0
2022-02-04,76526119.0
2022-02-05,76614539.0
2022-02-06,76699561.0
2022-02-07,77042151.0
2022-02-08,77255967.0
2022-02-09,77443119.0
2022-02-10,77613484.0
2022-02-11,77821654.0
2022-02-12,77874448.0
2022-02-13,77933644.0
2022-02-14,78100844.0
2022-02-15,78211227.0
2022-02-16,78325034.0
2022-02-17,78426302.0
2022-02-18,78570189.0
2022-02-19,78602347.0
2022-02-20,78625889.0
2022-02-21,78705534.0
2022-02-22,78794717.0
2022-02-23,78878763.0
2022-02-24,78945291.0
2022-02-25,79018933.0
2022-02-26,79066775.0
2022-02-27,79085308.0
2022-02-28,79182072.0
2022-03-01,79228526.0
2022-03-02,79281550.0
2022-03-03,79330037.0
2022-03-04,79388536.0
2022-03-05,79403803.0
2022-03-06,79416427.0
2022-03-07,79469905.0
2022-03-08,79499241.0
2022-03-09,79536136.0
2022-03-10,79581803.0
2022-03-11,79630563.0
2022-03-12,79641081.0
2022-03-13,79652389.0
2022-03-14,79686659.0
2022-03-15,79710172.0
2022-03-16,79761407.0
2022-03-17,79813432.0
2022-03-18,79845064.0
2022-03-19,79856186.0
2022-03-20,79867851.0
2022-03-21,79908896.0
2022-03-22,79930125.0
2022-03-23,79970024.0
2022-03-24,80012075.0
2022-03-25,80056490.0
2022-03-26,80066185.0
2022-03-27,80078221.0
2022-03-28,80115933.0
2022-03-29,80138992.0
2022-03-30,80177109.0
2022-03-31,80221659.0
